"GOV","Government","TAX","Tax","VAR","Variable","COU","Country","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"NES","Total","4100","4100 Recurrent taxes on immovable property","TAXNAT","Tax revenue in national currency","AUS","Australia","1965","1965","AUD","Australian Dollar","9","billions",,,0.341,,
"NES","Total","4100","4100 Recurrent taxes on immovable property","TAXNAT","Tax revenue in national currency","AUS","Australia","1966","1966","AUD","Australian Dollar","9","billions",,,0.373,,
"NES","Total","4100","4100 Recurrent taxes on immovable property","TAXNAT","Tax revenue in national currency","AUS","Australia","1967","1967","AUD","Australian Dollar","9","billions",,,0.404,,
"NES","Total","4100","4100 Recurrent taxes on immovable property","TAXNAT","Tax revenue in national currency","AUS","Australia","1968","1968","AUD","Australian Dollar","9","billions",,,0.43,,
"NES","Total","4100","4100 Recurrent taxes on immovable property","TAXNAT","Tax revenue in national currency","AUS","Australia","1969","1969","AUD","Australian Dollar","9","billions",,,0.461,,
"NES","Total","4100","4100 Recurrent taxes on immovable property","TAXNAT","Tax revenue in national currency","AUS","Australia","1970","1970","AUD","Australian Dollar","9","billions",,,0.504,,
"NES","Total","4100","4100 Recurrent taxes on immovable property","TAXNAT","Tax revenue in national currency","AUS","Australia","1971","1971","AUD","Australian Dollar","9","billions",,,0.561,,
"NES","Total","4100","4100 Recurrent taxes on immovable property","TAXNAT","Tax revenue in national currency","AUS","Australia","1972","1972","AUD","Australian Dollar","9","billions",,,0.616,,
"NES","Total","4100","4100 Recurrent taxes on immovable property","TAXNAT","Tax revenue in national currency","AUS","Australia","1973","1973","AUD","Australian Dollar","9","billions",,,0.702,,
"NES","Total","4100","4100 Recurrent taxes on immovable property","TAXNAT","Tax revenue in national currency","AUS","Australia","1974","1974","AUD","Australian Dollar","9","billions",,,0.897,,
"NES","Total","4100","4100 Recurrent taxes on immovable property","TAXNAT","Tax revenue in national currency","AUS","Australia","1975","1975","AUD","Australian Dollar","9","billions",,,1.112,,
"NES","Total","4100","4100 Recurrent taxes on immovable property","TAXNAT","Tax revenue in national currency","AUS","Australia","1976","1976","AUD","Australian Dollar","9","billions",,,1.284,,
"NES","Total","4100","4100 Recurrent taxes on immovable property","TAXNAT","Tax revenue in national currency","AUS","Australia","1977","1977","AUD","Australian Dollar","9","billions",,,1.391,,
"NES","Total","4100","4100 Recurrent taxes on immovable property","TAXNAT","Tax revenue in national currency","AUS","Australia","1978","1978","AUD","Australian Dollar","9","billions",,,1.507,,
"NES","Total","4100","4100 Recurrent taxes on immovable property","TAXNAT","Tax revenue in national currency","AUS","Australia","1979","1979","AUD","Australian Dollar","9","billions",,,1.666,,
"NES","Total","4100","4100 Recurrent taxes on immovable property","TAXNAT","Tax revenue in national currency","AUS","Australia","1980","1980","AUD","Australian Dollar","9","billions",,,1.886,,
"NES","Total","4100","4100 Recurrent taxes on immovable property","TAXNAT","Tax revenue in national currency","AUS","Australia","1981","1981","AUD","Australian Dollar","9","billions",,,2.116,,
"NES","Total","4100","4100 Recurrent taxes on immovable property","TAXNAT","Tax revenue in national currency","AUS","Australia","1982","1982","AUD","Australian Dollar","9","billions",,,2.463,,
"NES","Total","4100","4100 Recurrent taxes on immovable property","TAXNAT","Tax revenue in national currency","AUS","Australia","1983","1983","AUD","Australian Dollar","9","billions",,,2.696,,
"NES","Total","4100","4100 Recurrent taxes on immovable property","TAXNAT","Tax revenue in national currency","AUS","Australia","1984","1984","AUD","Australian Dollar","9","billions",,,3.032,,
"NES","Total","4100","4100 Recurrent taxes on immovable property","TAXNAT","Tax revenue in national currency","AUS","Australia","1985","1985","AUD","Australian Dollar","9","billions",,,3.364,,
"NES","Total","4100","4100 Recurrent taxes on immovable property","TAXNAT","Tax revenue in national currency","AUS","Australia","1986","1986","AUD","Australian Dollar","9","billions",,,3.713,,
"NES","Total","4100","4100 Recurrent taxes on immovable property","TAXNAT","Tax revenue in national currency","AUS","Australia","1987","1987","AUD","Australian Dollar","9","billions",,,4.127,,
"NES","Total","4100","4100 Recurrent taxes on immovable property","TAXNAT","Tax revenue in national currency","AUS","Australia","1988","1988","AUD","Australian Dollar","9","billions",,,4.581,,
"NES","Total","4100","4100 Recurrent taxes on immovable property","TAXNAT","Tax revenue in national currency","AUS","Australia","1989","1989","AUD","Australian Dollar","9","billions",,,5.366,,
"NES","Total","4100","4100 Recurrent taxes on immovable property","TAXNAT","Tax revenue in national currency","AUS","Australia","1990","1990","AUD","Australian Dollar","9","billions",,,6.148,,
"NES","Total","4100","4100 Recurrent taxes on immovable property","TAXNAT","Tax revenue in national currency","AUS","Australia","1991","1991","AUD","Australian Dollar","9","billions",,,6.533,,
"NES","Total","4100","4100 Recurrent taxes on immovable property","TAXNAT","Tax revenue in national currency","AUS","Australia","1992","1992","AUD","Australian Dollar","9","billions",,,6.692,,
"NES","Total","4100","4100 Recurrent taxes on immovable property","TAXNAT","Tax revenue in national currency","AUS","Australia","1993","1993","AUD","Australian Dollar","9","billions",,,6.715,,
"NES","Total","4100","4100 Recurrent taxes on immovable property","TAXNAT","Tax revenue in national currency","AUS","Australia","1994","1994","AUD","Australian Dollar","9","billions",,,6.744,,
"NES","Total","4100","4100 Recurrent taxes on immovable property","TAXNAT","Tax revenue in national currency","AUS","Australia","1995","1995","AUD","Australian Dollar","9","billions",,,6.974,,
"NES","Total","4100","4100 Recurrent taxes on immovable property","TAXNAT","Tax revenue in national currency","AUS","Australia","1996","1996","AUD","Australian Dollar","9","billions",,,7.381,,
"NES","Total","4100","4100 Recurrent taxes on immovable property","TAXNAT","Tax revenue in national currency","AUS","Australia","1997","1997","AUD","Australian Dollar","9","billions",,,7.739,,
"NES","Total","4100","4100 Recurrent taxes on immovable property","TAXNAT","Tax revenue in national currency","AUS","Australia","1998","1998","AUD","Australian Dollar","9","billions",,,8.035,,
"NES","Total","4100","4100 Recurrent taxes on immovable property","TAXNAT","Tax revenue in national currency","AUS","Australia","1999","1999","AUD","Australian Dollar","9","billions",,,8.445,,
"NES","Total","4100","4100 Recurrent taxes on immovable property","TAXNAT","Tax revenue in national currency","AUS","Australia","2000","2000","AUD","Australian Dollar","9","billions",,,9.064,,
"NES","Total","4100","4100 Recurrent taxes on immovable property","TAXNAT","Tax revenue in national currency","AUS","Australia","2001","2001","AUD","Australian Dollar","9","billions",,,9.518,,
"NES","Total","4100","4100 Recurrent taxes on immovable property","TAXNAT","Tax revenue in national currency","AUS","Australia","2002","2002","AUD","Australian Dollar","9","billions",,,10.401,,
"NES","Total","4100","4100 Recurrent taxes on immovable property","TAXNAT","Tax revenue in national currency","AUS","Australia","2003","2003","AUD","Australian Dollar","9","billions",,,11.474,,
"NES","Total","4100","4100 Recurrent taxes on immovable property","TAXNAT","Tax revenue in national currency","AUS","Australia","2004","2004","AUD","Australian Dollar","9","billions",,,12.611,,
"NES","Total","4100","4100 Recurrent taxes on immovable property","TAXNAT","Tax revenue in national currency","AUS","Australia","2005","2005","AUD","Australian Dollar","9","billions",,,13.275,,
"NES","Total","4100","4100 Recurrent taxes on immovable property","TAXNAT","Tax revenue in national currency","AUS","Australia","2006","2006","AUD","Australian Dollar","9","billions",,,14.802,,
"NES","Total","4100","4100 Recurrent taxes on immovable property","TAXNAT","Tax revenue in national currency","AUS","Australia","2007","2007","AUD","Australian Dollar","9","billions",,,15.606,,
"NES","Total","4100","4100 Recurrent taxes on immovable property","TAXNAT","Tax revenue in national currency","AUS","Australia","2008","2008","AUD","Australian Dollar","9","billions",,,17.657,,
"NES","Total","4100","4100 Recurrent taxes on immovable property","TAXNAT","Tax revenue in national currency","AUS","Australia","2009","2009","AUD","Australian Dollar","9","billions",,,18.656,,
"NES","Total","4100","4100 Recurrent taxes on immovable property","TAXNAT","Tax revenue in national currency","AUS","Australia","2010","2010","AUD","Australian Dollar","9","billions",,,19.877,,
"NES","Total","4100","4100 Recurrent taxes on immovable property","TAXNAT","Tax revenue in national currency","AUS","Australia","2011","2011","AUD","Australian Dollar","9","billions",,,20.734,,
"NES","Total","4100","4100 Recurrent taxes on immovable property","TAXNAT","Tax revenue in national currency","AUT","Austria","1965","1965","EUR","Euro","9","billions",,,0.092367,,
"NES","Total","4100","4100 Recurrent taxes on immovable property","TAXNAT","Tax revenue in national currency","AUT","Austria","1966","1966","EUR","Euro","9","billions",,,0.099489,,
"NES","Total","4100","4100 Recurrent taxes on immovable property","TAXNAT","Tax revenue in national currency","AUT","Austria","1967","1967","EUR","Euro","9","billions",,,0.09978,,
"NES","Total","4100","4100 Recurrent taxes on immovable property","TAXNAT","Tax revenue in national currency","AUT","Austria","1968","1968","EUR","Euro","9","billions",,,0.104867,,
"NES","Total","4100","4100 Recurrent taxes on immovable property","TAXNAT","Tax revenue in national currency","AUT","Austria","1969","1969","EUR","Euro","9","billions",,,0.108573,,
"NES","Total","4100","4100 Recurrent taxes on immovable property","TAXNAT","Tax revenue in national currency","AUT","Austria","1970","1970","EUR","Euro","9","billions",,,0.110245,,
"NES","Total","4100","4100 Recurrent taxes on immovable property","TAXNAT","Tax revenue in national currency","AUT","Austria","1971","1971","EUR","Euro","9","billions",,,0.112352,,
